epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.84375,0.46066680550575256,,
0,99,0.953125,0.16549783945083618,,
0,149,0.9375,0.2104065865278244,,
0,199,0.96875,0.0959780365228653,,
0,249,0.984375,0.06207180768251419,,
0,299,0.921875,0.2301555573940277,,
0,349,0.96875,0.21594087779521942,,
0,399,0.953125,0.21479204297065735,,
0,449,0.984375,0.04743041843175888,,
0,499,0.9375,0.10200468450784683,,
0,549,0.984375,0.06909732520580292,,
0,599,0.96875,0.0755111500620842,,
0,649,0.984375,0.08903850615024567,,
0,699,0.96875,0.07714882493019104,,
0,749,0.96875,0.08418586850166321,,
0,799,0.96875,0.08831790089607239,,
0,849,0.953125,0.15965130925178528,,
0,899,0.984375,0.07238417118787766,,
0,936,,,0.9838742017745972,0.046326037496328354
1,949,0.984375,0.042299773544073105,,
1,999,1.0,0.01349598541855812,,
1,1049,1.0,0.013038160279393196,,
1,1099,1.0,0.0030671372078359127,,
1,1149,1.0,0.01005650032311678,,
1,1199,0.96875,0.09075327217578888,,
1,1249,1.0,0.02495630271732807,,
1,1299,0.96875,0.059599027037620544,,
1,1349,0.984375,0.02907351590692997,,
1,1399,1.0,0.00837726704776287,,
1,1449,0.96875,0.0788787454366684,,
1,1499,0.953125,0.12659257650375366,,
1,1549,1.0,0.018093805760145187,,
1,1599,0.96875,0.11736877262592316,,
1,1649,0.96875,0.10376158356666565,,
1,1699,1.0,0.003465143498033285,,
1,1749,0.984375,0.03525794669985771,,
1,1799,1.0,0.0066627929918468,,
1,1849,0.984375,0.023778093978762627,,
1,1873,,,0.991286039352417,0.025188755244016647
2,1899,1.0,0.013361072167754173,,
2,1949,1.0,0.0017637696582823992,,
2,1999,0.984375,0.13424791395664215,,
2,2049,1.0,0.008709408342838287,,
2,2099,0.984375,0.0292641781270504,,
2,2149,0.96875,0.08729049563407898,,
2,2199,1.0,0.0027237047906965017,,
2,2249,0.984375,0.052051346749067307,,
2,2299,0.96875,0.16671904921531677,,
2,2349,1.0,0.0025203225668519735,,
2,2399,0.984375,0.0755552425980568,,
2,2449,1.0,0.0027274026069790125,,
2,2499,0.984375,0.05567815899848938,,
2,2549,0.984375,0.11169427633285522,,
2,2599,1.0,0.0026100720278918743,,
2,2649,0.953125,0.10673128813505173,,
2,2699,1.0,0.008179871365427971,,
2,2749,0.984375,0.058191873133182526,,
2,2799,0.984375,0.016633279621601105,,
2,2810,,,0.9921875,0.024508055299520493
3,2849,0.984375,0.030522428452968597,,
3,2899,1.0,0.006294712424278259,,
3,2949,0.984375,0.024151060730218887,,
3,2999,0.984375,0.03947685658931732,,
3,3049,1.0,0.009257657453417778,,
3,3099,0.984375,0.02878919430077076,,
3,3149,1.0,0.014136947691440582,,
3,3199,1.0,0.002794009866192937,,
3,3249,1.0,0.007974718697369099,,
3,3299,0.96875,0.04805944859981537,,
3,3349,1.0,0.00871383585035801,,
3,3399,1.0,0.0016506450483575463,,
3,3449,0.953125,0.14660584926605225,,
3,3499,1.0,0.0011276773875579238,,
3,3549,0.96875,0.06876891106367111,,
3,3599,0.96875,0.05339057743549347,,
3,3649,1.0,0.010472632944583893,,
3,3699,0.984375,0.05092533677816391,,
3,3747,,,0.9917868375778198,0.02629704959690571
4,3749,1.0,0.0016239176038652658,,
4,3799,1.0,0.0011954737128689885,,
4,3849,1.0,0.0003159697516821325,,
4,3899,1.0,0.0066834925673902035,,
4,3949,1.0,0.00012663329835049808,,
4,3999,0.984375,0.04810652881860733,,
4,4049,1.0,0.0005986015894450247,,
4,4099,1.0,0.004417359828948975,,
4,4149,1.0,0.001612893887795508,,
4,4199,1.0,0.001728889998048544,,
4,4249,1.0,0.0011545477900654078,,
4,4299,1.0,0.0008465051651000977,,
4,4349,1.0,0.009599288925528526,,
4,4399,1.0,0.0006550480029545724,,
4,4449,1.0,0.0064687589183449745,,
4,4499,1.0,0.0025004500057548285,,
4,4549,0.96875,0.10438428074121475,,
4,4599,1.0,0.003118269145488739,,
4,4649,1.0,0.008643757551908493,,
4,4684,,,0.9920873641967773,0.026463914662599564
